AlertID,txnCount,creditCount,debitCount,creditDebitRatio,cardFrac,wireFrac,cashFrac,intlFrac,spanDays,maxDormancyGapDays,burstFrac,sizeMean,sizeStd,sizeMax,netFlow
1,1447,1096,351,3.1225071225071224,0.5922598479612993,0.3337940566689703,0.0663441603317208,0.007601935038009675,364.9995138888889,3.0856481481481484,0.0580511402902557,-1.1109929,0.60247254,1.7424742,-971.70154
2,706,600,106,5.660377358490566,0.5339943342776204,0.38526912181303113,0.0764872521246459,0.00424929178470255,364.99936342592594,6.800115740740741,0.07932011331444759,-0.2853302,0.8770453,2.7896175,-216.35971
3,486,352,134,2.626865671641791,0.5781893004115226,0.3230452674897119,0.09053497942386832,0.00823045267489712,364.9993287037037,8.90699074074074,0.03497942386831276,0.13181491,0.9936084,4.3740544,-55.297443
4,1330,933,397,2.350125944584383,0.5157894736842106,0.4345864661654135,0.04661654135338346,0.0030075187969924814,364.9994791666667,5.0186574074074075,0.20827067669172933,0.42589107,1.1104147,4.3587284,203.75627
5,1600,1138,462,2.463203463203463,0.5375,0.381875,0.07625,0.004375,364.99950231481483,3.4857060185185187,0.079375,0.12915486,0.85555977,3.4693966,-214.92514
6,789,688,101,6.811881188118812,0.5665399239543726,0.3358681875792142,0.09505703422053231,0.0025348542458808617,364.99936342592594,8.405011574074074,0.059569074778200254,-0.5613991,0.74735576,2.1306715,-409.16992
7,957,632,325,1.9446153846153846,0.45454545454545453,0.44618599791013586,0.09508881922675026,0.0041797283176593526,364.9994791666667,4.817546296296296,0.07836990595611286,0.066990055,1.017255,4.9225016,-208.93355
8,240,204,36,5.666666666666667,0.5708333333333333,0.39166666666666666,0.0375,0.0,325.7034722222222,27.14896990740741,0.020833333333333332,0.083074704,1.0456411,3.5939212,-19.28806
9,130,80,50,1.6,0.2692307692307692,0.5615384615384615,0.14615384615384616,0.023076923076923078,364.9994097222222,24.206979166666667,0.17692307692307693,0.9206491,0.92960644,3.2330208,16.968075
10,1730,1232,498,2.4738955823293174,0.5965317919075145,0.3173410404624277,0.07919075144508671,0.006936416184971098,364.99950231481483,4.5678125,0.1069364161849711,-0.30141404,0.7444264,3.6117666,-341.6658
